Giocatore,Squadra,Lega,Ruolo,Quota_FVM,Quota_Qt,Totale,Tipo
Biraghi,Arsenal,Premier League,D,3,4,7,TAGLIO
Cham,Arsenal,Premier League,D,3,1,4,TAGLIO
Provstgaard,Arsenal,Premier League,D,4,2,5,TAGLIO
Kolasinac,Arsenal,Premier League,D,9,4,12,TAGLIO
Marin M.,Arsenal,Premier League,C,6,3,9,TAGLIO
Martinez Jo.,Arsenal,Premier League,P,1,1,2,TAGLIO
De Silvestri,Leicester City Football Club,Premier League,D,4,2,6,TAGLIO
Lykogiannis,Leicester City Football Club,Premier League,D,5,3,8,TAGLIO
Tsimikas,Leicester City Football Club,Premier League,D,5,2,7,TAGLIO
Ellertsson,Leicester City Football Club,Premier League,C,7,3,10,TAGLIO
Jashari,Leicester City Football Club,Premier League,C,6,7,12,TAGLIO
Bayo V.,Leicester City Football Club,Premier League,A,4,2,6,TAGLIO
Dominguez B.,Leicester City Football Club,Premier League,A,8,5,12,TAGLIO
Estupinan,Manchester United FC,Premier League,D,5,6,11,TAGLIO
Belotti,Manchester United FC,Premier League,A,15,6,21,TAGLIO
Kuhn,Manchester United FC,Premier League,A,6,7,13,TAGLIO
Siegrist,Nottingham Forest,Premier League,P,1,1,1,TAGLIO
Gatti,Nottingham Forest,Premier League,D,4,4,8,TAGLIO
Lazzari,Nottingham Forest,Premier League,D,4,2,6,TAGLIO
Cornet,Nottingham Forest,Premier League,C,3,4,6,TAGLIO
Mkhitaryan,Nottingham Forest,Premier League,C,10,5,15,TAGLIO
Dele-Bashiru,Everton,Premier League,C,6,6,11,TAGLIO
El Aynaoui,Everton,Premier League,C,7,5,11,TAGLIO
Israel,Chelsea,Premier League,P,1,5,5,TAGLIO
Cuadrado,Chelsea,Premier League,D,4,4,8,TAGLIO
Sohm,Chelsea,Premier League,C,5,6,11,TAGLIO
Ghilardi,West Ham United,Premier League,D,6,2,8,TAGLIO
Ferguson,West Ham United,Premier League,C,8,6,14,TAGLIO
Vitinha O.,West Ham United,Premier League,A,14,6,20,TAGLIO
Sanabria,West Ham United,Premier League,A,5,4,9,TAGLIO
Pezzella Giu.,Liverpool Football Club,Premier League,D,6,3,8,TAGLIO
Benedyczak,Manchester City,Premier League,A,5,1,6,TAGLIO
Meister,Manchester City,Premier League,A,7,1,8,TAGLIO
Zarraga,Manchester City,Premier League,C,3,1,4,TAGLIO
Masini,Manchester City,Premier League,C,5,3,8,TAGLIO
Valenti,Manchester City,Premier League,D,7,2,9,TAGLIO
Zerbin,Manchester City,Premier League,C,5,2,7,TAGLIO
Contini,Tottenham Hotspur,Premier League,P,1,1,1,TAGLIO
El Shaarawy,Tottenham Hotspur,Premier League,C,6,4,10,TAGLIO
Stengs,Tottenham Hotspur,Premier League,C,7,6,12,TAGLIO
Moumbagna,Tottenham Hotspur,Premier League,A,5,3,8,TAGLIO
Nzola,Tottenham Hotspur,Premier League,A,6,6,12,TAGLIO
Goglichidze,Manchester City,Premier League,D,7,2,9,TAGLIO
Troilo,Parma,Serie A,D,4,3,7,TAGLIO
Ellertsson,Parma,Serie A,C,7,3,10,TAGLIO
Anjorin,Parma,Serie A,C,5,5,10,TAGLIO
Felici,Parma,Serie A,C,5,3,8,TAGLIO
Nzola,Parma,Serie A,A,6,6,12,TAGLIO
Kuhn,Parma,Serie A,A,6,7,13,TAGLIO
Marin M.,Parma,Serie A,C,6,3,9,TAGLIO
Cuadrado,Parma,Serie A,D,4,4,8,TAGLIO
Dia,Parma,Serie A,A,6,10,16,TAGLIO
Israel,Reggina Calcio 1914,Serie A,P,1,5,5,TAGLIO
Cornet,Reggina Calcio 1914,Serie A,C,3,4,6,TAGLIO
LucumÃ¬,As Roma,Serie A,D,6,4,10,TAGLIO
Vitik,As Roma,Serie A,D,7,4,11,TAGLIO
Buksa,Sampdoria,Serie A,A,6,5,11,TAGLIO
Van Der Brempt,Sampdoria,Serie A,D,4,2,6,TAGLIO
Dele-Bashiru,Sampdoria,Serie A,C,6,6,11,TAGLIO
Tavares N.,Sampdoria,Serie A,D,4,6,10,TAGLIO
Gineitis,Sampdoria,Serie A,C,6,3,8,TAGLIO
Valle,Sampdoria,Serie A,D,6,3,9,TAGLIO
Biraghi,Sampdoria,Serie A,D,3,4,7,TAGLIO
Silvestri,Napoli,Serie A,P,1,1,1,TAGLIO
Stengs,Pisa SC 1909,Serie A,C,7,6,12,TAGLIO
Joao Mario,Pisa SC 1909,Serie A,D,3,4,7,TAGLIO
El Aynaoui,Pisa SC 1909,Serie A,C,7,5,11,TAGLIO
