
Villarreal,5585:Malen:500;4871:Thuram:320;6572:Castro S.:250
Atletico Madrid,2194:Calhanoglu:160;7017:Douvikas:260;531:Berardi:150
Napoli,6052:Hojlund:450;2194:Calhanoglu:350;2097:Kean:400
Arsenal,2764:Martinez L.:410;254:Dimarco:300;2167:Orsolini:236
Siviglia,6675:Dovbyk:350;1870:Barella:250;4312:Maignan:300
Osasuna,6052:Hojlund:400;2097:Kean:350;2517:De Bruyne:150
Bayer 04 Leverkusen,2764:Martinez L.:600;2167:Orsolini:300;2423:Pulisic:280
Red Bull Lipsia,254:Dimarco:265;7017:Douvikas:157;6966:Butez:56
Torino FC,2167:Orsolini:650;2137:Scamacca:525;6908:Atta:425
AC Milan,2766:Zaniolo:250;5687:Vlasic:220;6966:Butez:220
Chelsea,2423:Pulisic:200;2137:Scamacca:200;632:Zaccagni:200
Reggina Calcio 1914,4510:Leao:400;2517:De Bruyne:213;632:Zaccagni:253
Udinese,7017:Douvikas:350;7071:Esposito F.P.:350;5559:Da Cunha:205
FiorentinaT,254:Dimarco:250;2423:Pulisic:200;6435:Krstovic:150
Parma,2764:Martinez L.:750;7181:Wesley:150;4159:Akanji:100
Borussia Mgladbach,6908:Atta:350;4371:Raspadori:350;7351:Santos A.:200
Union Berlino,6052:Hojlund:350;6875:Paz N.:581;2194:Calhanoglu:230
Pisa SC 1909,4871:Thuram:400;4777:McTominay:421;6434:Yildiz:410
Athletic Bilbao,254:Dimarco:665;5637:Davis K.:521;2061:Simeone:392
Real Madrid,2167:Orsolini:200;4510:Leao:120;5995:De Ketelaere:150
Futbol Club Barcelona,2764:Martinez L.:600;6434:Yildiz:350;2379:Rabiot:250
Leicester City Football Club,5585:Malen:400;4777:McTominay:280;7126:Baturina:180
Deportivo La Coruna,632:Zaccagni:200;4371:Raspadori:200;2038:Pinamonti:200
West Ham United,7071:Esposito F.P.:450;5734:Soul:150;2788:Bremer:200
Everton,6435:Krstovic:550;5792:Ederson D.S.:200;5544:David:60
real betis balompie,4777:McTominay:300;2423:Pulisic:310;5559:Da Cunha:150
Roma,5585:Malen:550;6875:Paz N.:500;6060:Laurient:80
Borussia Dortmund,4777:McTominay:500;2137:Scamacca:330;4510:Leao:90
Valencia,6875:Paz N.:600;2137:Scamacca:200;7071:Esposito F.P.:200
Tottenham Hotspur,2194:Calhanoglu:250;2517:De Bruyne:150;6060:Laurient:170
EINTRACHT FRANCOFORTE,4871:Thuram:400;7126:Baturina:300;7181:Wesley:250
REGGIANA,5637:Davis K.:450;7126:Baturina:300;2061:Simeone:250
Wolfsburg,5585:Malen:602;2097:Kean:451;5637:Davis K.:352
Liverpool Football Club,6434:Yildiz:370;4510:Leao:170;2766:Zaniolo:180
Bayern Monaco,6434:Yildiz:480;632:Zaccagni:150;2038:Pinamonti:200
Nottingham Forest,6875:Paz N.:390;5637:Davis K.:260;6908:Atta:190
